code,prefname,name,url,stat2015_total,stat2015_dencity,stat2015_ave_age,stat2015_mean_age,stat2015_under15,stat2015_15to64,stat2015_over65,stat2015_per15,stat2015_per15to64,stat2015_per65
35206,山口県,山口県防府市,http://www.city.hofu.yamaguchi.jp/soshiki/7/opendatatorikumi.html,115942,612.3,47.1,47.7,15331,66700,33582,13.26061948,57.69247403,29.04690649
35215,山口県,山口県周南市,http://www.city.shunan.lg.jp/section/joho/joho/y_densi_3_3.html,144842,220.7,48.4,49.8,17992,81321,44114,12.54436055,56.69852957,30.75710989
36208,徳島県,徳島県三好市,https://www.miyoshi.i-tokushima.jp/shisei/toke/,26836,37.2,55.7,60.2,2326,13500,10992,8.673279141,50.33932433,40.98739652
37201,香川県,香川県高松市,http://www.city.takamatsu.kagawa.jp/25074.html,420748,"1,120.8",46.4,46.7,55082,240958,109369,13.58677286,59.43577967,26.97744747
37202,香川県,香川県丸亀市,http://www.city.marugame.lg.jp/itwinfo/i28373/,110010,984.2,46.3,46.6,15054,63441,29572,13.93024698,58.70524767,27.36450535
37207,香川県,香川県東かがわ市,http://www.higashikagawa.jp/itwinfo/i7512/,31031,203.0,53.4,58.1,2983,15752,12244,9.629103586,50.8473482,39.52354821
38201,愛媛県,愛媛県松山市,http://www.city.matsuyama.ehime.jp/shisei/opendata/top.html,514865,"1,199.1",46,46.3,64925,303024,128658,13.07371825,61.01887408,25.90740767
38202,愛媛県,愛媛県今治市,http://www.city.imabari.ehime.jp/opendata/data.html,158114,377.2,49.9,52.4,18816,86057,52636,11.94598404,54.63624301,33.41777295
38205,愛媛県,愛媛県新居浜市,http://www.city.niihama.lg.jp/site/opendata/,119903,511.4,48.1,49.4,15812,66679,36715,13.264433,55.93594282,30.79962418
40100,福岡県,福岡県北九州市,http://www.open-governmentdata.org/kitakyushu-city/,961286,"1,954.0",47.5,48.5,119448,549397,277120,12.62710565,58.07794157,29.29495277
40130,福岡県,福岡県福岡市,http://www.open-governmentdata.org/fukuoka-city/,1538681,"4,480.9",43.1,42.5,199923,996401,312331,13.25173747,66.04564993,20.70261259
40203,福岡県,福岡県久留米市,http://kurume.bodik.jp,304552,"1,324.4",45.5,46,41133,179398,76256,13.85943454,60.44671768,25.69384778
40216,福岡県,福岡県小郡市,http://odcs.bodik.jp/402168/,57983,"1,274.1",45.8,46.8,8286,34489,15089,14.31978432,59.60355316,26.07666252
